dataset,method,faithfulness,monotonicity,completeness,stability,time,ricci
Pima Diabetes,GEMEX,-0.2119,0.375,0.22321,0.09071,0.66645,1.55171
Pima Diabetes,SHAP,-0.14028,0.28,2.46241,0.74968,0.00177,0.0
Pima Diabetes,LIME,-0.16974,0.315,0.20762,0.11045,0.00638,0.0
Pima Diabetes,ELI5,-0.25123,0.355,0.17425,0.04008,0.001,0.0
Heart Disease,GEMEX,-0.55178,0.13231,0.93032,0.17136,0.82411,0.54315
Heart Disease,SHAP,-0.35513,0.11077,5.03527,1.06966,0.00233,0.0
Heart Disease,LIME,-0.32935,0.14154,0.27901,0.06229,0.00831,0.0
Heart Disease,ELI5,-0.47656,0.13231,0.36401,0.03485,0.001,0.0
Breast Cancer (BC),GEMEX,-0.41383,0.244,1.14884,0.32117,0.718,1.37089
Breast Cancer (BC),SHAP,-0.32744,0.136,7.27754,2.37304,0.00182,0.0
Breast Cancer (BC),LIME,-0.3377,0.18,0.26904,0.17656,0.00578,0.0
Breast Cancer (BC),ELI5,-0.18752,0.212,0.67751,0.0628,0.001,0.0
